Comment;Sentimen
Proyek Kereta Cepat Jakarta Bandung, itu Proyek Modus Merampok uang rezim Jokowi;negatif
Rakyat Butuh keberanian presiden,;positif
Yang utang bukan kau yang bayar tapi Negara,saya sudah umur 65 tahun tdk pernah ditagih pada saya,kalau cerita pajak yang saya bayar dengan Fasilitas yang dibuat Pemerintah sangat sangat tdk wajar dengan kewajiban pribadi.;negatif
Gue setuju sama Anam, tiap naik whooss selalu penuh rame kok, dan tiketnya jg gak murah, kok ngaku rugi ? Apakah ini ciri khas BUMN seperti PLN Pertamina, Garuda yg jualan laku keras tp selalu ngaku rugi ?;negatif
"woosh itu hrs diaudit dn minta pertgjawaban luhut...?
pembengkakan anggaran hingga 2x, konsesi waktu dr 40th menjadi 90th, dr bisni to bisnis tp diujung penjaminnya negara (apbn), kebijakan KCIC sarat dg korupsi...?";negatif
😀😀😀;positif
LBP kok tenang2 bae menteri sejuta jabatan Mukidi gimana tanggung jawab nya..;negatif
Sy blm denger opung komen;negatif
Harganya mahal bos coba kalau harganya turun lagi bisa jadi alternatif yang Bisa digunakan oleh jakarta bandung;positif
Proyek ugal2an tanpa memperhitungkan study kalayakanya , Jakarta - Bandung jarak dekat, jumlah penumpang sedikut alternatif transpirtasi yg murah banyak, travel , bus umum , tol , kereta api konvensional yg masih sangat layak .Akhirnya banyak BUMN yg terlibat bangkrut.;negatif
31jt orang /tahun ke bandung kayaknya emank gak mungkin tapi kalau ini kereta sampe surabaya pasti bisa 31jt orang/tahun apalagi lebaran pakai kereta cepat kan enak ya;positif
"Seharusnya LUHUT BINSAR bertanggung jawab atas Proyek ini

Karena statement dia yang selalu membela kereta cepat..

Kata dia proyek tsb tidak menjadi bban negara tetapi nyatanya jadi beban negara..

Usut tuntas LBP";negatif
Sukurin;negatif
Patriot bond artinya bond merugi buat negara. Tapi apa gunanya DPR kalo nggak ada kemampuan mengestimasi nasib proyek. Rame itu belum memenuhi target BEV. Jadi yang konyol study kelayakan proyek JKW.;negatif
Kerugian dan beban hutang gak kaleng2.nilainya udah mencapai angka triliunan.ujung2 nya rakyat juga yg bayar melalui hasil pajak, ini yg di sebut beban rakyat.;negatif
Suruh Jokowi lh yg bayar dan yg buat putusan saat itu;negatif
Kalau dibebankan utangnya ke negara, ujung2nya nanti negara bakal naikin pajak ke rakyat... bener ke KAI. As dia bisa dikatakan monopoli di industri kereta jarak jauh;negatif
Jokowi jokowi pasti kerja (ngutang);negatif
wongsolo tangungjawab😁;negatif
Sebenarnya udh banyak pakar yg mengingatkan JokowiPemerintah utk KCIC & IKN karena keperluannya tdk mndesak & mmbebani APBN. Tapi emang niatnya mau korupsi, bkn utk kesejahteraan rakyat.;negatif
Karena DPR itu tidak bekerja tidak ada control meminjam pembangunan;negatif
SURUH JOKOWI DAN DPR YG BAYAR;negatif
Proyek ambisius lebih untuk mendapatka legacy, gak peduli kalaupun bakalan rugi, yg harus bertanggung jawab tidak hanya jokowi tapi juga para menteri termasuk sri mulyani;negatif
biadab orang orang yang hancurkan KAI. Nafsu setan. Keburukan yang ada.;negatif
Bisnis kok rugi terus. Gemana itu? Ujung2nya dibayar dg uang pjk;negatif
BUMN harus untung dong. Namanya bisnis kok banyak ruginya.;negatif
😊😊;positif
😂🤣🤣🤣makan tuh insfastruktur yg ga pernah mikirin DAMPAKNYA !!!!!;negatif
Bayar dengan uang koruptor;positif
Pasti ada yg ngambil ke untungan, makanya proyek ini walau dah byk yg ngingetin dampak nya tetep d paksakan. Karna pasti ada pihak2 yg kecipratan proyek ini. Budaya fèe proyek pemerintah itu dah mendarah daging d sebagain pejabat2 serakah..;negatif
Untuk para Pendukung jokowi kita minta kalian buat bayar perbuatan junjungan kalian. Bayar kerugian yg udah diperbuat junjungan kalian;negatif
pdhl drpd bikin kereta cepat, mending aktivasi jalur selatan engga sih? spy menghidupkan perekonomian dan pariwisata di pesisir selatan jawa barat;positif
Kita stuju anggaran IKN hrus disetop dialihkan ke KAI untuk nyicil bayar bunga ini gara² proyek jokowi yg ugal²an;negatif
P Jokowi liat tu proyek Bpk, yg bernama whoosh,,keren banget,sampek2 di bahas Krn ngebebani Bpk hebat;negatif
hutang ditanggung pribadi, bkn negara apalagi rakyat. kl mau loan restructure, debt to equity conversion at a discount. atau dipilah antara infrastructure dan non. jangan mau cuci piring stlh pesta orang lain.;negatif
Mulyono yg ambisius sen kanan belok kiri suka nipu dan nyusahin rakyat dan negara...;negatif
"Bagaimana pak LBP kabarnya, hutang harus dibayar anda kan paling ngotot tentang KCIC, jangan"" dapat untung tuh sehingga saking kencangnya gak bisa ngomong. Jangan diam aja tuh, bicaralah ,jangan malu"".";negatif
merasa konyol aj,. kereta cepat,..emang mau kemana,seberkepentingan apa orang konoha mau cpt2,..hahaa,.lagian secepat apa tuh kereta,..klo cpt2 nambah2in hutang negara gk tau jg tuh,..;negatif
"Saya Sebagai Masyakat Indonesia Timur Menolak Penggunaan Pajak dari Kami Untuk membayar Utang Kereta Api Cepat... Semua Pembanguna itu di Pulau Jawa dan Kami tidak turut merasakan fungsi KAC tersebut..... Bahkan Anggaran Pembangunan KAC kalau di alakosikan untuk pembangunan jalan seluruh Kota/Kabupaten di indonesia timur.... 
kami Yakin Terselesaikan 100% bahkan lebih dari Kebutuhan..
Hutang di Bagi Rata..
Pembanguna tidak Merata...
Transferan Ke daerah Menurun..
Inpres Infrastruktur Naik..";negatif
jokowi , LBP, dan para mentri yg setuju dg proyek kereta itu suru mereka naik biar pergi tidak akan kembali;negatif
Jokowi sama erik tohir yg harus ny membayar itu;negatif
Wowo = Hidup wiwi.... 😂😂😂😂😂😂;negatif
Pk luhut dulu ngotot kreta cepat suruh mikir dong akibatnya,makanya segala sesuatu itu harus di pikir jangan grusah grusuh sok2an se olah2 paling hebat;negatif
Slogannya tetap di banggakan! Hidup jkw 3x;negatif
Kan lu yang dukung Jokowi dulu tempo udah lupa emang.😅;negatif
Hiduppp jkowiiiiiii;negatif
Tapi , karena ijazahnya palsu , makanya kebijakannya ngawur semua. begitu hubungannya Mas tempo. Masing-masing bergerak sendiri tapi menuju titik yang sama.;negatif
Dude you are the best. It is safe and 100% works;positif
"Semua Masalah di Negeri Ini Adalah Warisan dari Makhluk yg Bernama ""Jokowi""";negatif
Lah ngapain dioperasionalkan jadi beben negara, per tahun harus biayain lagi 4.5 T setahun;negatif
HIDUUP KOWOOOOK;negatif
Birahi tukang kayu;negatif
Semoga Indonesia jauh lebih baik dari sebelumnya aamiin;positif
KRETA CEPAT, IKN, GIBRAN adalah warisan kebusukan jokowi.;negatif
kewajiban diambil atao jadi beban pemerintah artinya ,,,,,,, yang bayar rakyat ..nah inilah kedzaliman;negatif
Suruh si Luhut Panjaitan dan Jokowi tanggung utang nya;negatif
"Inalillahi wa Innailaihi rojiun.. TURUT BERDUKACITA NEGERI KU INDONESIA, Karena perkara ambisi 1 MANUSIA YANG BERNAMA JOKOWIDODO !! DIA MEMBUAT NEGERI MAKMUR INI DILANDA BANYAK MASALAH YANG DIA TINGGALKAN DAN TANPA TANGGUNG JAWAB PENUH TERHADAP KEINGINAN NYA YG AMBISIUS!!

😢 ANAK SAYA YG BARU BERUMUR 6 & 7BULAN HARUS MENANGGUNG BEBAN JUGA UNTUK MEMBAYAR HUTANG NEGARA KARENA DIPAKSA BAYAR PAJAK!!!!

LEKAS SEMBUH MERAH PUTIH";negatif
Pak Jonan was right.;positif
Dampak dr kepemimpinan yg rendah kualitas dan sangat serakah serta sembrono dr sang mantan;negatif
"hidup jokowi, minta lagi ke china tambah kereta cepat dari bandung jakarta lanjut sambung sampe surabaya, mantap proyek strategis bikin indonesia untung besar.

sampe kiamat ga bakal balik modal.";negatif
Pertimbangan yg serampangan akhirnya negara lagi yg nanggung utang....;negatif
Hai anggota DPR dan pemerintah suruh aja yg memutuskan proyek itu untuk bertanggung jawab dia yg suruh bayar kasi sama dia kereta cepat itu uang pemerintah yg sudah untuk bayar suruh dia kembalikan;negatif
Itulah warisan Jokowi he kalian relawan Jokowi /Projo / termul belum lagi peroyek2 yg lain yg JD beban mikir kalian kalau yg punya pikiran terkecuali ,,,;negatif
MULYONO NYIMAK;negatif
KITA JUGA NANGGUNG KARENA PRESIDEN2 SEBELUMNYA GA BANGUN APA2 DUITNYA GA TAU KEMANA LARIINYA;negatif
"Ya nggak tau kok tanya saya? 
Jawaban wong koplak😂";negatif
Semua koroptor kok bilang dak ada uang;negatif
Sudah masuk jebakan china.....;negatif
Dari jaman SBY proyek ini sudah banyak yg ga setuju.....bahkan yg paling getol ga setuju ya pak Jonan....pak Jonan menilai dari segi nilai bisnisnya kurang tepat untuk sekarang......yg tentunya pendapatan tak akan bisa menutupi biaya operasional apalagi hutang.......tapi Jokowi memaksakan padahal keuangan negara juga ga banyak di dukung dengan suara anntek anteknya......bahkan dengan bangganya ternaknya dengan kalimat negara mana yg ga punya hutang......bahkan Amerika saja punya hutang......inilah kebodohan termul.....Amerika memang punya hutang tapi dia jg menghutangi negara negara lain....lah Indonesia?;negatif
Korban mulyono;negatif
Emang gak ada yang beres di tangan jokowi;negatif
Keuangan negara bonyok deh,hutang kcic bayarnya ratusan tahun.;negatif
Wei. Perhitungan si ijasah palsu sama rentenir kelas wahid.;negatif
suruh bongkar dan bawa ke china sana;negatif
Kayaknya ada keuntungan yg diterima Mulyono,geledah rumahnya pasti ada triliunan uang cash;negatif
kebijakaan siapa, president siapa, wkwk;negatif
Sdh seharusnya Jokowi hrs diadili ?;negatif
Itulah kehancuran yg dibuat Jokowi ?;negatif
Udah ada travel bus, kereta listrik, jalan tol, jakarta bandung, banyak akses, gitu masih mau dibuat sama mulyono, trus ibukotanya dipindah ke lain pulau, gila mikirnya gimana mulyono;negatif
"Betapa dahsyat kerusakan dan kerugian akibat Joko Widodo.
Harus dituntut untuk tanggung jawab.";negatif
Alah tempo mau cuci tangan....sponsor utama Jokowi masa2 awal;negatif
Bawak jokowi t ' mintak kekayaannya semua' itulh manusia gk ad ilmu di angkat jd peminpin;negatif
Bom waktu apa? Cuma 1-2 T per tahun, dibanding MBG 350T. Whoosh masih bisa digenjot penumpangnya 2x;negatif
coba tanya si luhut,,, dan pinta pertanggung jawabannya,,,;negatif
Dilepaskan aja, Manajemen Kereta cepat, buat proyek ini tidak ada kajian proyeknya, Pak.Jonad aja menolak orang bersih dibuang.;positif
"Whoosh hutang 116 triliun.
Rugi 4 trilliun.
KAI bakal bangkrut..";negatif
Ya menginisiatif kereta cepat whoosh itu harus bertanggung jawab jokowi;negatif
Batalkan Hutang2 Kereta Cepat yg memberatkan Keuangan NEGARA,. Panggil Jokowi untuk Bertanggung Jawab.;negatif
Kalau mikir duit itu korupsi urusin;negatif
"Saya heran mengapa petung kayak begini kok mau juga?? Untung apa sih, mengapa gak demo saja sa'at itu
Kok akhirnya rakyat yg dibebani. Kal";negatif
program yg di andalkan mulyono;negatif
yang ngide siapa sih kereta cepat ini anjjj???;negatif
dah kereta cepatnya dipakai sebagian buat kirim paket kilat saja Jakarta Bandung dan sekitarnya... kalau saya hitung itu lebih cepat untung... pemerintah gandeng swasta bikinlah usaha di bandung, jual online ke penduduk jakarta/sepanjang rel;positif
"GEGARA MULYONO NIPUNEGORO. 
TULGAK...??
👇🤪";negatif
Wuss;negatif
serba utang ....membangun serba utang;negatif
gara-gara ini harga tiket ka jarak jauh, makanan di kereta mengalami kenaikan terlalu cepat;negatif
Warisan mulyono emang parah..bangkrut dah negara konoha..;negatif
Daya rusak jokowi segala bidang , moga p Prabowo di beri kekuatan sebagai pewaris kerusakan ini.. 😢;negatif
Sangat berkualitas programnya, langsung ke akar masalah tanpa basa basi. Tingkatkan terus kualitas Tempo.;positif
Tolong dicatat di sejarah, KCIC adalah beban negara yang diperoleh dari ambisi penguasa sebelumnya supaya dinilai berprestasi padahal menteri yang memperbaiki KAI aja nolak;negatif
"Pemerintah mempersiapkan rencana pengembangan Kereta cepat Jakarta - Jogyakarta , sebagai kelanjutan KC Jkt-Bdg, yg nantinya dilanjut sampai ke Surabaya. Dengan adanya rencana tsb artinya pemerintah sudah ""mengkaji"" dng baik potensi, nilai manfaat dimasa mendatang. Dan Proyek2 besar / infrastruktur tentu memakan waktu lama , dan biaya besar. Nilai manfaat dan atau untung rugi, umumnya bisa dinilai setelah 5 - 10 th sejak selesai 100%.
Tidak relevan jika baru selesai kemudian ada penilaian. Para pengamat harusnya paham , ""kecuali ada unsur/niatan lain"" tentang penilaian tsb.";positif
TAGIH KE JOKOWI DAN LUHUT;negatif
Ini bisa dilaporin ke kejaksaan kaya kasus Tom Lembong gak ya, jelas-jelas bikin rugi negara ini jelek eksekusinya;negatif
Jokowi & DPR aja yg ikut mengesahkan suruh linasi hutang kereta cepat...;negatif
YA ITU SURUH SI JOKOWI YANG BAYAR HJ UTANGNYA.;negatif
Lagi² dosa jokowi. Dosa'y teramat besar kpd negeri ini. Semoga adzab yg di terima'y jg sebesar dosa'y. Aamiin.;negatif
Tinggalan siapa itu???;negatif
Lebih baik di kembalikan yg ngutang th lalu siapa presidennya pak;negatif
DIHENTIKAN SAJA KA CEPAT.....KOK REPOT....;negatif
Lima puluh tahun belum tentu bisa mengembalikan kerusakan yg ditimbulkan jokowi selama berkuasa.!! 😅😅😅;negatif
Brapa pemasukan uang❤untuknegara❤bukan❤sekedar. Ngetop❤;negatif
Yang penting daoat gelar bapak infrastruktur Indonesia 😂;negatif
Tp memang manfaatnya terasa sih. Jakarta bandung cuma sejam, pasti, no delay, no macet.;positif
Jangan lupa orang yg paling ngotot merealisasika proyek kereta cepat adalah LBP !;negatif
Mangkanya jadi presiden jangan asal bangun ini bangun itu...itu itu mengadakan kereta cepat pahami dulu data yang ingin menggunakan transportasi tersebut jangan asal... ujung ujungnya hutang banyak dan negara pasti rugi karena memakan anggaran yang sangat besar padahal anggaran tersebut masih bisa dibagi untuk modal yang lain supaya ekonominya seimbang;negatif
Buat bawa paket aja kalau penumpang tidak masuk target. koordinasi dengan beberapa perusahaan logistik;positif
Enak, ya, pemerintah. Suruh BUMN bangun ini itu, biar presidennya 'kinclong'. MenBUMN dan Dirut BUMN-nya pun manut saja biar jabatannya awet. Soal utang, gampang. Tinggal geser-geser saja ke pemerintah/BUMN berikutnya. Geser menggeser utang, jadinya utang negara membengkak dari rezim ke rezim. Ntar rakyat yang bayar lewat 'PAJAK'....pajak....dan pajak..... Saat rakyat ngamuk, ya...., sial saja presiden dan Menkeu saat itu, kena tinja presiden-2 sebelumnya. Kalau saya Prabowo, saya nggak mau nanggung dosa Jokowi. Biar ditanggung KAI dan partnernya saja. Kalian bangkrut itu urusan kalian..... yang dipenjara..... Kejar tuh Jokowi.....;negatif
Batalkan saja proyek kereta cepat pulangkan ke cina,agar negara ini selamat dari hutang yg bikin bangkrut negara ,memang di era Jokowi byk kerusakan penghianatan kebobrokan serta korupsi yg bikin bangkrut nkri;negatif
Kreta mending di ambil allih negara hasil duit penghasilan kereta di bagi rata semua dapet kekayaan negara untuk rakyat biar makmur😅;positif
sebenernya operasional kereta cepat untung apa rugi sih?;negatif
Dari pada ga ke bayar bahkan Rugiiiiii...dan setiap tahun/bulan / Hari...untuk apa....serahkan aja pada Kreditor nya....wong Rugi terus...belum lagi klo rusak disaat waktunya Ganti2 part......nah sekarang...lagi masih 95% tuh barang serahkan...aja....klo mereka ga mau terima...kebayang ga loe...KAI ...bangkrut....;negatif
JOKER..Kualat sama Jonan.... Yg berranggung Jawab...SIAPE hrsnya si Joker...si Lohot....;negatif
Mana tanggung jawabmu jokowi ? Hutang menggunung kamu malah masih berusaha mau berkuasa lagi....emang prestasimu apa ? Pantasnya kamu dipenjara....😢;negatif
Apa manpat nya kreta cepat kalau tiap tahun merugi buat apa cmn gaya gaya an aja sipa pendirinya siapa yg melaksanakan nya sok sokan ini ngebebanin Rakyat usut tuntas menkiu dan presiden nya mengeluarkan uang korjoran tdk diperhitungkan lagi wajib dituntut ini ngebebani Negara;negatif
Ambisi jokowi untuk memoles citra berujung bangkrut...;negatif
Seret mulyono untuk menjelaskan. Buka ke publik warisan hutang mulyono.;negatif
Perbuatan si jokowi;negatif
Kasihan Pak Prabowo diwarisi Negeri yang rusak.;negatif
Uadah kasi ke China aja ga usah dibayar napa;negatif
Lanjut tempo untuk yerus bela menyuarakan kejujuran kebenaram;positif
Kalo tom lembong di kenakan pasal merugikan negara, berarti yang bikin proyek IKN dan KCIC , juga bisa dikenakan pasal yang sama donk;negatif
Ini baru jakarta bandung sudah begitu pusing mikir hutangnya. Bagaimana cerita/logikanya sampai ada usul diperpanjang sampai Surabaya. Mau nambah utang berapa ribu trilyun lagi?;negatif
Tujuan pembuatan kereta cepat itu tidak murni berpikir untuk kemajuan tp keuntungan dr proses pembuatan itu... usut;negatif
tempo mesti tg jawab juga dulu pendukung jokowi banget dan mendukung banget kreta cepat;negatif
"yaaa begitulah TERMUL.... setelah bancak an rame2 sekarang giliran bayar utang di limpahkan negara (baca : rakyat).

Coba audit semua pihak yg terlibat KC ini, dari yg merumuskan sampai gunting pita, mana ada yg tidak ikut bancak an. !!!! terbaik emang TERMUL";negatif
Nah kan, mana Ni para ternak Muliyono, terbukti semua kan cercahan RG😆🫵;negatif
PTPN sejak di tinggal Belanda GK pernah kedengaran untung itu;negatif
Mohon maaf Mas Aiman, nyandingkan Andi Aswan dan siapa itu Yoni kah dengan Icsanudin Nursi ya jauh, tidak imbang, artinya diskusinya kosong nilai;negatif
OHHH NGUTANG KERETA WOOOSH WOOSHHH ITU ,,,,SAMA DONG AKU JG NGUTANG BUAT BELI BEAT KARBU 2 PINTU....🥱☕;negatif
Jokowi mewariskan utang yg menggunung. Memaksa kehendak;negatif
Hati2 uang mu amblas;negatif
Sdh betul dijadikan kereta cepat yg penting hagi transportasi ,agar tdk di korupsi uangnya oleh tikus2 berdasi;positif
PROYEK AROGAN...WARISAN MASA LALU...HUTANG NYA .BIKIN NEGARA..** MASYA ALLAH.**;negatif
Kenapa dulu bangga dipilih sampai 2 x sekarang pd ngoceh, nasi sudah lewat dubur masuk WC;negatif
Adili Jokowi;negatif
Hutang kereta cepat idenya Luhut;negatif
udah dari awal . kereta Cepat serta IKN adalah 2 project bombastis yang membuat negara mengalami defisit dari APBNnya , karena hal ini menjadi bola panas dari pemerintah sebelumnya dimana menjadi beban program pemerintah di bawah president prabowo . seharusnya karena ini merugikan negara seharusnya sudah masuk pada tindakan penyidikan oleh KPK atau Kejagung;negatif
Pk prabowo bapak diracunin sm pk jkw di bebani utang jg besar kena tipu;negatif
apa sih urgensinya bikin kereta cepat bandung jakarta, gw udah ngomong dari dulu;negatif
sita semua aset j0kow1 dan termul buat bayar utang negara;negatif
Kereta cepat harga nyah ga ramah di Kantong!!!;negatif
LBH BAIK TANYA YG DULU NGEYEL ATAU SURUH TG JAWAB;negatif
Suruh Jokowi dan Keluarganya bayar utang;negatif
Usut tuntas kenapa kok rugi 😂😂😂😂😂;negatif
Tagih ke jokowi. Anak jadi wakil, nah tagih.;negatif
Hentikan kereta cepat klw menjadi beban negara.klw rugi terus serahkan bisnis ini ke Jokowi biar dia yg membayari hutangnya.;negatif
jelas Jokowi ngibul n kroninya menipu rakyat;negatif
"Hutang kereta cepat gk masalah yg penting pak prabowo tetap bilang""hidup jokowi""";negatif
Ini proyek akal-akalan pemerintah supaya beban utang woosh ini nanti juga beban APBN.;negatif
Jangan lupa warisan IKN yang biar terlihat ada kerjanya hutangnya Yo numpuk lhoo;negatif
"Negara yg sebenarnya kaya tp dimiskinkan oleh ulah koruptor yg terus berkembang biak dan pejabat yg gila2 ambisi😢

Cepat sembuh tanah airku🥺";positif
Akibat ambisi satu orang? Kewalahan keuangan negara.;negatif
Hhh setiap ada pembangunan proyek besar Jokowi pasti dikurup utk setoran;negatif
APBN 3000 an triliun, diambil 2 T per tahun, tp 2 jurnalis tempo bilang boncos, bisa matematika apa kaga? lawak sekelas tempo jurnalis kaga mampu ngitung;negatif
"Untung demo rusuh kemaren ga ada yg nyasar kcic
Cicilan belum lunas😂";negatif
Walaupun proyek rugi keutungan minus tapi kalau kalian maen kesana direksi nya pake Lexus semua;negatif
Makanya pemimpin itu kalo ambil keputusan harus exstra hati2 jangan serampangan ngandelin ego akhirnya buad sengsara negara;negatif
Siapa yg bayar hutang negara?.;negatif
menurut saya proyek kereta cepat ini sama kayak seseorang yg ekonominya jelas-jelas Morat-Marit tapi maksa berhutang pinjol demi beli iPhone 16....;negatif
Kl tom lembong bener bener mssuk penjara krn kebijakan nya dianggap merugikan negara berarti pembuat kebijakan kereta cepat n ikn bisa masuk penjara jg tuh😅;negatif
Jokowi nanti yg bayar utangnya;negatif
Mulyono kan ada yang Tanggung kalau Rugi minta aja sama Mulyono ,kan yang bangun Proyek KAI , jangan semua Utang yang tanggung Negara kalau Untung masuk Kantong Pribadi.;negatif
Adili jokowi, sita kekayaannya dan mikiskan.;negatif
"Beuuhhh Rini soemarno
Kalo proyek orang ini emang musti diwaspadai";negatif
"Ngapain rakyat yang bayar,suruh saja jokowi dan keluarganya yang bayar enak saja rakyat di suruh bayar
Ogah banget !!!";negatif
kalau rugi gimana caranya bayar hutang?;negatif
"Jelas pusing, bgm tidak..?!
Kan dulu sdh diperingatkan Alm. Faisal Basri tapi tak dihiraukan.";negatif
"apa gak bisa hitung menghitung dari awal? 
kalau begini kenapa gak diklaim karya presiden sebelumnya (ke 7) koplak...";negatif
Ambyarrrrr;negatif
Utang banyak bingung, korupsi dibiarkan trilunan gak dibahas;negatif
Opung ,Jokowi Seret ke KPK suruh pertanggung Jawabkan;negatif
Tobat pokoke 😂;negatif
"Aneh pak presiden ini. Ciopung yg telah banyak membuat ketusakan ekonomi, seprti KA cepat, tambang dll justru digunakan sebagai penasehat ekonomi😮
Dan kini anak buahnya dulu menggantikan SM. Kementerian yg sangat vital. 😊";negatif
"Kesalahan Jokowi yg yg menjadi Blunder RI.
Terlalu gengsi dan pingin legacy di akui. 
Tapi ini bisa menjadi beban yg tak ada habisnya.
Apalagi Gengnya LBP akan memperpanjang jalur sampai Surabaya...
Kasihan Pemerintah 
Beban Hutang Negara jadi berat.
Kasaihan Deh generasi penerus kita";negatif
"tagih ke wapres aja, 
kan dlu ini projek bapaknya 
yg banyak bikin *MEGA PROYEK GAGAL* (krn diKKN)";negatif
lah iya. ngapain jakarta bandung pake kereta cepat. pake kereta biasa jg cpt nyampainya. jarak pendek. kecuali jakarta surabaya.;positif
Solusi tepat dan cepat mengatasi hutang kereta cepat adalah GOTONG ROYONG jumlah penduduk RI 280jt patungan 100 rb per jiwa total dana terkumpul dana 2800 T... kelar dan lunas hutang kereta cepat... yang hal paling penting orang yang bikin kebijakan kereta cepat dijebloskan ke penjara.;negatif
Bayar aja sama Projo,kereta cepat ga penting rutreu pendek pake kereta cepat sungguh aneh bin linglung;negatif
Utang woosh. Warisan presiden lulusan asli UGM.;negatif
Berat memang warisan jokowi...heranya ternaknya gak sadar2, selama 10 tahun bukanya rakyat tambah sejahtera tapi tambah sengasara;negatif
Semua karena Mulyono gak mau terima masukan Bp Ignatius Jonan, yang sudah susah payah membesarkan PT KAI,,;negatif
Sudah ngutang duitnya di korup....sempurna;negatif
Dulu ngak mau respon pak Jonan .dulu malah tergiur Aseng ...ini akibatnya kereta whoosss jadi beban.;negatif
yg bertanggung jawab mulyono.;negatif
Lo asal wah toh bung..moto Indonesia asal megah biar lapar😊salam dari Amsterdam;negatif
MNJADI XTA & BENAR ADALAH BAPAK IGNASIUS YONAN YG BERSEBERANGAN DGN PRESIDEN SAAT ITU TENTANG KERETA CEPAT.;negatif
"Penyelesaiannya, DPR harus memanggil Jokowi.... berani??? 
Dia harus tanggung jawab......";negatif
"indonesia ngk berani penjarakan mantan presidenx kaya mereka itu malaikat, coba contoh malaysia, korsel
jadi presiden x tidak membuat kebijakan sembarangan tanpa uji penelitia terlebih dahulu";negatif
kalau merugikan usut tu mulyono;negatif
Dosa jokowi dan LBP sangat besar kepada bangsa ini;negatif
Tagi sama mantan .....sangat membebani pemerintahan dan imbasnya ke rakyat harus digenjot bayar pajak.....;negatif
Kata si yono yang penting fee gua udah ditangan,mau rugi atau jungkir balik tu barang,egp.;negatif
Lihat saja buktinya nanti dan hanya sang maha pencipta yg tau semuanya dr niat Pak Jokowi itu dlm membangun negaranya ini.;positif
kereta diurusin aja lah sm swasta, diurus bumn ga becus!;negatif
Yang penting kan fee nya besar, begitu lah rusaknya Jokowi dan LBP;negatif
klo gibran smp jd presiden akn trs buat KA cepat lg spnjng jawa selatan. pasti nmbh utang lg 8000 trilyun. ngeri si anak mulyono ini. jangn smp presiden org ini;negatif
Inti ny rakyat yg harus bayar utang ..mulyono yg untung ..apa rakyat diam aja ..;negatif
"Inilah hasil 10 thn berkuasa Jokowee
Thks untuk jkomania...membangkrutkanRI";negatif
JANGAN DI OPERASIKAN AJA. JANGAN PUSING PUSING. BERES..HE..HE. KALAU BELUM KEBAYAR. BAYAR AJA SAMA BARANGNYA KEMBALIKAN LAGI...BIAR CEPET BERES.;negatif
Bukan itu saja perintisan jalan lintas atas boby kemana aliran dananya. Apakah aliran dana tersebut sudah di telan saat pencalonan sebagai Gebernur. Lalu kenapa rakyat atau negara yang menanggung justru tanggung sendiri lah. Bagaimana dengan anak jkw sebagai wapres dan wali kota kenapa tidak pernah di angkat ke publik. Jng² dana tersebut sudah diatur jalur masuknya.;negatif
Jarak lintasan terlalu pendek rentabilitas ekonominya negatif;negatif
Gengsi perlu biaya tinggi!!!;negatif
Warisan koq buat mumet 😅😅😅😅😅😅😅😅;negatif
Jokowi tetap ngotot bangun KCIC, jkw hanya mengejar komisi dari pembangunan kereta cepat, buat keuntungan pribadi!!!!😊😅😮😢🎉😂❤;negatif
Setuju;positif
Saya jadi jnget IKN juga dulu janji tak pakai Dana APBN . Malah orang sama dulu sebut ada ratusan investor asing yang antre masuk IKN. Nah Kenyataanya sekarang gimana ?;negatif
Raja ngibul Nusantara;negatif
Contoh Kadrun dungu;negatif
Jokowi yg paling harus tanggung jawàb jgn direkturnya yg dituntut kasiaha dia cm dpt peninggalan hutang doang dr jokowi;negatif
suruh diaya siapayg marasahebat waktu ituam il keputusan lanjutkan kereta cepat???? tanyalahi ke ybs kenapa dengan sukamarah marahnya minta ka cepat hrs dilanjutkan 😮😮;negatif
Adili MULYONO, bikin negara bangkrut;negatif
Semua biang bangkrut nya Negeri ini adalah mulyono;negatif
selamat menikmati hasil akting prank masuk gorong2 dan tampang merakyat, enjoy !;negatif
Kita tau siapa otak dibalik itu semuanya, ....;negatif
kereta cepat adlh kebodohan jokowi yg waktu itu sdh diingatkan sama pak jonan menteri perhubungan bahwa kereta cepat ini proyek yg tidak layak diteruskan krn dikemudian hari diprediksi akan membebani APBN/Negara;negatif
Hanya karena keinginan pencitraan Jokowi, padahal KA cepat jelas merugikan, Koq perusahaan BUMN itu dipaksakan, inipun kejahatan, kriminal..;negatif
Ys jadikan saja mabtan presiden ug men;negatif
warisan jokowi luar biasa;negatif
Jokowidodo orang cerdas secerdas yang milihnya;negatif
Sejak awal rezim Mukidi ingin mewujudkan proyek mercusuar yang didukung oleh para termul. Mereka mati2an dukung proyek2 itu termasuk proyek yang sejak awal sudah banyak kejanggalan termasuk KCIC. Contoh kejanggalan, yang merencanakan dan yg menang tender Jepang kok kemudian diberikan ke Cina. Ada apa??????;negatif
