Review;Sentimen
Habis update malah gak memiliki akun....aneh;Negatif
Saya kenapa tidak ada data dokumen seperti akta kelahiran ?;Negatif
Ini gimana habis update mlh gak bisa di login. Data semua udah bener. Di kirim gak bisa, di Kembi juga gak bisa. Makin kocak aja. Mana buat daftar apa2 juga gak bisa. Dicetak juga kocak difoto profil banyak tempelan gak penting.;Negatif
Barusan diupdate malah meminta registrasi lagi. Padahal sebelum update masih bisa digunakan.;Negatif
Ngak guna apknya ngk bisa diakses;Negatif
Aplikasi ribet yang dibahas digital tapi harus kekantor dukcapil buat scan verifikasi barcode....terus buat apa digital mas bro.. Habis update data malah tidak ditemukan masukan data ulang sekalinya masuk gak bisa upload foto... Sebenarnya apa yg di update sich...;Negatif
Ko' bisa daftar, padahal isi sesuai KTP;Negatif
sebelumnya saya sudah memiliki akun tapi kenapa pas habis di update saya mau mendaftar verifikasi pin nya salah padahal waktu sebelumnya saya masukan pin itu benar;Negatif
Mau tanya kenapa akun saya terblokir ya ? padahal sudah saya update dan setelah saya instal ulang juga sama saja, ini bagaimana maksudnya ya ? tolong diperbaiki...;Negatif
Error melulu. Apa gunanya aplikasi ini. Mau login aja gak bisa;Negatif
Di update malah tambah tolol aplikasinya.;Negatif
baru update malah tambah muter-muter terus;Negatif
Susah susahny mintak ampun;Negatif
untuk buat foto gak fungsi;Negatif
Sebenarnya aplikasi ini bs digunakan untuk apa klau pelayanan publik tetap minta fotokopi ktp dan menunjukan ktp asli. DI Bank Juga begitu.;Negatif
Setelah update aplikasi, justru tidak bisa login;Negatif
Tidak sebagus logonya, gak bisa daftar..;Negatif
setelah update kena malah di suruh login, terus mau login gak bisa terus. . .;Negatif
Setelah update versi terbaru TIDAK BISA LOGIN, DATA TIDAK DITEMUKAN. UPDATE KOK MENYUSAHKAN!!!;Negatif
Ada pembaharuan kemudian log in kembali setelah repot-repot mengisi data di minta melakukan foto selfie tetapi tangan sudah sangat sakit karna camera tak kunjung berubah warna hijau. Akhirnya tak bisa log in. Sungguh hebat sekali. Saking canggihnya pemilik ktp sampai tak bisa log in. Amazing. 👏👏👏👏👏;Negatif
Buat rakyat kok coba coba;Negatif
Ampas;Negatif
Gak bisa buat foto selfi;Negatif
Saya kasih bintang 1 karena: 1. Setelah update awal tahun 2025, justru aplikasi terlogut, disuruh daftar lagi, padahal sudah bisa digunakan ketika sebelum update 2. Ketika verifikasi pengambilan foto, ada bug setelah tekan tombol shutter. Frame foto seperti freeze, tidak menampilkan overview hasil foto. Tidak ada tombol selanjutnya, ataupun tombol lainnya seperti back, dst. 3. Karena ini aplikasi Negara yang terkenal buat nya gak becus, selalu kinerja dibawah. Pecat aja itu semua ASN gak becus.;Negatif
Beberapa bug masih ada pada pembaruan major ini...Mohon segera diperbaiki dengan serius agar tidak mengganggu urusan orang banyak;Negatif
Abis update malah logout sendiri.. Pas mau login ulang gk bsa mlaah disuruh daftar ulang.. Gimana sih ini aplikasi IKD;Negatif
Apaan ini update. Salah pin. Padahal saya ingat betul pin nya . Tidak ada opsi reset pin lagi. Hadeh;Negatif
Face detection nya benerin dong muka udh jelas gitu masih gak bisa di take foto, diupdate bukannya lebih bagus malah lebih jelek parah yang bikin aplikasi;Negatif
Setelah pembaruan kenapa malah tidak bisa log in?? PIN salah terus padahal PIN sudah sesuai dengan akun yang lama;Negatif
Saya sudah punya akun, setelah saya perbarui aplikasi saya tidak bisa login, sepertinya aplikasi masih banyak error, sebelum di perbatui juga sudah banyak fitur yang tidak bisa di pakai, jika aplikasi blm bisa di gunakan jangan di upload, sangat mengecewakan;Negatif
"Setelah di update yg terakhir knapa aplikasi meminta ijin ""akses penggunaan media penyimpanan""? Dan settingan saya, tdk saya ijinkan dan hasilnya sy TIDAK BISA BUKA APLIKASINYA. Pertanyaannya, knapa aplikasi harus maksa untuk bisa akses ke penggunaan media penyimpanan? Mencurigakan aplikasi ini....";Negatif
abis diupdate malah gagal masuk padahal pin sudah benar;Negatif
Abis update ga bisa login;Negatif
Sebenarnya apk ini sudah bagus,sblm d update bisa dgunakan stlh update data hilang dan tidak bisa dgunakan.kocak 🫣✌️;Negatif
Lah knapa ini di updet malah keluar harus daftar lagi,gimana ini yg bener aja dong;Negatif
Ga bs dbuka, yg ada setelan2 stelah tu ilang;Negatif
Pernah daftar offline, stlh update kok harus dftar lgi.. dan g bisa... y dh hapus aja;Negatif
Setelah update, malahan identitas kependudukan saya tdk terdaftar. Diminta pendaftaran lagi.... Payah nih aplikasinya. Anggaran negara besar, kok hasilnya seperti ini......;Negatif
Setelah di update, malah gak bisa verifikasi wajah;Negatif
Pengajuan perubahan data di KTP udah berbulan bulan belum ada respon;Negatif
gajelas, update malah logout dari akun. developer ga kompeten;Negatif
setelah d upgrate malah g bs d buka data d blokir gimana urusannya ini makin jelek aja;Negatif
Namanya ada digitalnya tapi lupa pin masa harus ke diskducapil;Negatif
"Maaf sebelumnya, sebelum saya update aplikasi ini, bisa diakses dan cepat. Namun setelah saya update malah tidak bisa masuk aku dikarenakan terkendala pada swafoto yang selalu berwarna merah. Padahal sudah mengikuti arahan ""wajah harus di dalam frame"". Mohon aplikasi untuk diperbaiki systemnya dan dipermudah. Terima Kasih";Negatif
Habis di update malah gak bisa masuk. Udah di pencet sudah memiliki akun. Kok masih di arahkan ke mendaftar akun lg. Tidak ada di arahkan ke masukkan PIN bagi yg sdh punya akun. Tahu gitu gak usah di update. Gak jelas banget. Sorry Bintang 1😐;Negatif
Kocak di update bukan malah lebih baik malah ga bisa masuk padahal pin udah bener;Negatif
Error Mulu .. miris;Negatif
Kok error terus ya? ga bisa dibuka;Negatif
Setelah diperbarui kok koneksi terputus? Gak bisa log in;Negatif
Aplikasi butut, keseringan error, pemerintah bloon duit banyak, bikin aplikasi ga beres;Negatif
Sejak update versi terbaru mala ga bisa dibuka aplikasi gimana si;Negatif
Parah,baru aja saya update Malah masukin pin ngga bisa Padahal sebelum update lancar2 aja;Negatif
Setelah update malah jd error;Negatif
Ga bisa daftar,padahal lagi butuh bgt...;Negatif
Setelah pembaruan, error;Negatif
Applikasi tidak jelas tiba2 keluar sendiri , giliran masa kampanye selalu stand by;Negatif
Di update kok jadi susah begini akses nya;Negatif
Ini gmn udh update malah salah verifikasi pin pdahal udh bner... Hadeuh gmn sih ini;Negatif
Aplikasi yang gak bisa digunakan,,ngabisin anggaran aja..tpi GK berfungsi;Negatif
diupdate malah gangguan koneksi mulu padahal speed internet 50mbps..;Negatif
Setelah di perbarui malah gak bisa buat memasukkan pinnya, tolong lah kami sangat membutuhkan disaat ada keperluan kenapa malah gak bisa buat masuk ke aplikasinya;Negatif
Setelah update malah eror...;Negatif
Mala eror;Negatif
Perbaiki lagi lah servernya, masa kadang server error atau nggak koneksi terputus atau koneksi hilang. Padahal sinyalku bagus-bagus aja;Negatif
Aduh... Diperbarui malah jadi harus ulang daftar... Trus PIN nya lupa... Gabisa diakses jadinya... Gimana sih nih dukcapil???;Negatif
Udah di update malah suruh daftar ulang lagi di hadapan petugas disdukcapil bikin susah;Negatif
Aplikasi apaan mau liat dokument aja gak bisa bisa, gimana mau mempermudah kalo begini ? Tolong lah jangan di korup tuh duit buat bikin aplikasinya;Negatif
Sama aja bohong aplikasi ni masih harus ke kantor dukcapil untk kode QR ya masih aja ngantri;Negatif
Gak bisa kubuka;Negatif
Kok ga bisa di download!!!!!;Negatif
Sulit diakses Setelah mendapat e-mail, malah tak bisa dibuka;Negatif
Aplikasi tidak berguna..Bank BCA masih menolak penggunaan identitas digital, harus menggunakan KTP fisik.. Terus buat apa KTP digital. 🤣🤣;Negatif
ApkT*L*L Nyesel download buang2 quota aja;Negatif
Tolong di perbaikin untuk dokumen kartu kependudukan sering error susah di buka..;Negatif
Lemot susah di buka;Negatif
kalo lupa pin gabisa dibuka;Negatif
Apikasih yang dibuat emang sengaja dibuat untuk tidak bisa di akses Semua data yang di input selaluh salah Apikasih manipulasi Apikasih korupsi;Negatif
Setiap kali z verifikasi pasti error keluar dgn sendiri mohon d kasih bagus sistem d tahun 2025;Negatif
Gimana sih mau download tidak bisa, karena aplikasi dibuat untuk versi android yg lebih lama, tolong lah di update untuk versi android yg terbaru, masa saya harus downgrade HP ?;Negatif
Percuma di bikin praktis, kalau ujung2 nya ribet udah tidak bisa di screenshot tidak bisa di simpan pula. Tidak berguna;Negatif
Proses pelayanan dokumen cetak KTP lewat aplikasi lama banget..ga respon respon..masih PERMOHONAN TERUS;Negatif
Dokumen tidak tersedia terus aneh;Negatif
lemmot,, aplikasnya;Negatif
tidak ada fitur lupa pin !!! karna dikota saya belum terlalu menggunakan IKD jarang pake jadi lupa.;Negatif
buruk;Negatif
Sering error;Negatif
Sanganta...sangat...mengecewakan Apk sangat..sangat...lemot;Negatif
Aplikasi digital tapi harus kekantor dukcapil untuk mendapatkan kode barcode🥴🥴🥴 Indonesia memang hebat🥱 Keren Indonesia ku🥱🥱🥱;Negatif
bapukkk percuma online kalo harus DTG ofline juga mah;Negatif
Verifikasi wajah ga bisa diupload. Aplikasinya mungkin cacat;Negatif
Ga guna;Negatif
Aplikasi ga jelas masa harus ke dukcapil dulu buat scan QR,katanya online eh pada akhirnya offline juga;Negatif
Aplikasi pemerintah Indonesia jelek;Negatif
kenapa ga bisa disimpen siiii jadi susah kalau mau dishare² jadi susah dan mau foto copy juga jadi susahhh, mana dari dukcapil bilang nya blm bisa dicetak;Negatif
Percuma pake aplikasi kalo ujung2nya juga harus kekantor,bener2 gak mempermudah;Negatif
Auto uninstal kembali, lha wong embel2 digital koq masih bisa2nya harus ke dukcapil yg jaraknya 1jam stengah dari rumah hanya buat minta barcode?kalah sama warung2 yg bisa scan barcode. Dengkul oh dengkul eh otak;Negatif
Error;Negatif
Huhhhhh Lemooooot kalau membuka dokumen kependudukan nya;Negatif
Kalau mau digitalisasi sebaiknya dimatangkan dahulu. Aplikasinya sangat lemot. Mau buka dokumen aja lama banget.;Negatif
fungsi aplikasi ini apa yaa?;Negatif
Aplikasi busuk, orng udh punya akun disuruh daftar lg, ribet;Negatif
Gunakan uang dengan benar untuk pengembangan software, sekelas punya pemerintah tapi cct, lelet dibuka sering erorr;Negatif
aplikasi tidak jelas loginnya susah, itu nyari kode QR ny dmna? udah dpt kodenya malah tetep g bs masuk... aplikasi tidak berguna;Negatif
Aplikasi tidak berguna sama skali;Negatif
Eror;Negatif
Ga guna;Negatif
GK guna, GK bisa masuk SMA sekali;Negatif
Untuk disdukcapil kab kerinci, jambi, mereka tidak bisa melakukan permohonan secara online, padahal mereka yg menyarankan untuk menginstal aplikasi ini;Negatif
Aplikasi ny parah buat buka aj lama nya;Negatif
Kacau dana triliunan hanya menghasilkan kesemrawutan. Hanya sekedar aplikasi saja tak mampu utk mengatasinya, rendahnya SDM IT di pemerintahan. Di kasih bintang satu itupun masih terlalu tinggi. Maaf ya.;Negatif
Dekumen gak pernah kebuka sinyal udh 4g masih aja muter trs sinyalnya;Negatif
Kenapa sekrang gak bisa buka KK, cuma bisa liat KTP aja?;Negatif
Bagaimana caranya ya, biar masalah barcode ini sampai dan masuk ke aduan mas WAPRES;Negatif
Kata y sudah digital...tapi masih belum singkron dengan lembaga keuangan...saya mau buka rekening aja susah harus ada KTP fisik...padahal kata y KTP gittal lebih mudah...teryata hari ini saya buka rekening BCA di jl Enggano Tanjung Priuk masih susah..harus ada KTP fisik...mana yg kata y lebih mudah.aplikasi y juga lemot loding y lama dah lama buka y...;Negatif
Tujuan di buat aplikasi ini apa? Buat habisin anggaran kah? Aplikasi ga guna bisa login pun ga bisa buka data. Kan sama aja kek 💩💩💩💩;Negatif
korup aja terus su;Negatif
udah berhari hari mau buka kartu keluarga susah banget tolong dong lebih diperbaiki;Negatif
Aplikasi nyusahin aplikasi proyek gagal dah hampir 30menit lebih gak bisad buka padahal disini aplikasi dokumen penting tapi sulit di akses;Negatif
Haduuh kesini Krn biar efisien waktu tp di prank, apalah ini d arahin online tp kudu k office2 juga cuma buat scan barcode.... Trus apa fungsinya aplikasi ini kalo gak utk mempermudah pekerja yg gak ada waktu libur?? Ini aplikasi negara kok bapuk bgt... Tolonglah d perbaiki supaya bisa mempermudah warga;Negatif
Bukannya mempermudah malah mempersulit;Negatif
aplikasi tidak berguna nyaris selalu eror dan tidak bisa digunakan.;Negatif
app dongok;Negatif
Kocak, tetep harus ke kantor dukcapil;Negatif
arahnya kemana. sangat dungu malah makin ribet , kita memperlihatkan data diri kita harus buka hp dan harus punya paket data;Negatif
Kami masyarakat butuh fisik KTP nya...aplikasi bgni ga ada guna nya dari pihak kecamatan bilang nanti di kirim...sudah sebulan ini blm ada KTP sampai rumah;Negatif
loading nya lama pol bikin org jengkel bayangin aja klo misal org buru buru apa ga tambah emosi;Negatif
Mau daftar aja hrs ke dukcapil dl...cb masyarakat itu di mudahin..d;Negatif
DIGITAL woy digital paham ga sih lo??? Disebutnya doang digital tapi harus datang ke dukcapil untuk ngurus nya. Asli sumpah dasar penghuni goa, digitalisasi tapi harus datang dukcapil itu sih namanya MANUAL !!!! APK TIDAK BERGUNA;Negatif
Itu ada banyak bug didalam aplikasi nya ketika masukin huruf captha malah ga bisa full huruf malah ada yang hilang, tolong diperbaiki secepatnya ini dipake untuk kepentingan cepat;Negatif
Di hape saya aplikasinya tidak bisa scan barcode/qrcode saat pendaftaran. Kamera muncul tapi saat scan tidak terjadi apa2.;Negatif
"Aplikasi tidak berfungsi. Mau masuk aja terus muncul kalimat ""terjadi kesalahan koneksi"". Padahal jaringan bagus. Tolong perbaiki segera";Negatif
Anggaran gede, pajak naik, hasilnya aplikasi ngebugs. Menyala 58 ku.;Negatif
Buat apa KTP online kalo harus datang ke Capil gini aja sih KTP online kan biar kita di permudah kenapa harus ke Capil untuk buat nya kalo harus ke Capil kenapa gak buat KTP nya aja sekalian;Negatif
Klau bisa dipersulit ngapain dipermudah,Makin kesini makin dipersulit pakai barkot lagi,untuk apa aplikasi ni klau dipersulit,mending hapus aja biar ada kerjaan buat biro jasa;Negatif
Aplikasinya msh kebanyakan error;Negatif
Untuk apa bikin aplikasi, Kalau harus minta code ke kantor dukcapil;Negatif
Lag terus, apk gajelas gabisa diandalkan ini digitalisasi apakah dananya di korup?;Negatif
Aplikasi aneh jaringan bagus koneksi mulu mohon di updet biar lebih bagus lagi;Negatif
Cara mengatasi lupa pin masuk gimana ?;Negatif
Aplikasi ini sama sekali tidak dpt membantu, justru hanya mempersulit.;Negatif
Lemot banget aplikasinya kalau buka menu dokumen, dan sering error. Masa aplikasi database seluruh rakyat indo bgini :(;Negatif
Buset dah, lalod bnerrrrrr.... Mau buka KK aja loading mulu ga kelar2.;Negatif
apk mengecewakan;Negatif
Fungsi nya aplikasi biar memudahkan masyarakat untuk bisa urus secara mandiri dimana saja, tapi kenapa dimintain barcode dr petugas dukcapil? Ya sama aja suruh dtg dtg juga ke dukcapil, aneh bgt indo birokrasi nya ga jelas asli, kebanyakan korupsi sih otak kaga dipake.;Negatif
Aplikasi apa ini leg banget kalo buka data;Negatif
"Saya login dengan sandi selalu salah(padahal sandi yg saya gunakan tak berubah sama sekali) tiada alternatif lain dan masih sulit di akses(mengigat saya hampir 1 Minggu hanya untuk daftar ini apk) Jelek ? Pakek nanya, belum lagi perihal kuota, ini pemerintah niat buat apk/ money londry? tapi ndk tau velio masyarakatnya sendiri dengan alasan keterbatasan kuota Hei ini kan onlen kok malah mirip ngurus kelurahan dri pihak kelurahan juga gitu""ngk tau""lah ? Tak menerima kritik?yg Jagan mempersulit";Negatif
Error;Negatif
Programny udh bagus,mau serba digital,tpi klo masih harus ke dukcapil cuma mau minta barcode,apa gunanya digital?kalau buat program untk masyarakat,jngan stengah²,tuntas in dong.;Negatif
Bintang 1 la.entah apa maksudnya, tersedia online tpi hrus mintak kode barcode pulak ke catpil,itu nmnya belm mmpermudahh.oalah lain x buat aplikasi yg jelas dn detail bukn mmperribet. Gak gunalaah, un instal lahh, org gunanya di adakan online utk mmpermudah ini mmpribet si sama ajaa;Negatif
Baru mau daftar udah di suruh datang ke kantor ducapil sama aja bohong Udah kalo emang gak niat bikin aplikasi mendingan gak usah bikin;Negatif
demi,. ga ngerti sm ini aplikasi. login bisa,mau masuk menu pelayanan disuruh masukin sandi dan chapta,sudah terisi dg benar tp gagal terus.;Negatif
Ud download pas masuk cuma loading aj terus cape;Negatif
Saya ingin sekali menggunakan tp sayang hanya berputar JD apa gunanya appnya nih;Negatif
Aplikasi Gak Jelas, di buka gak bisa alasan koneksi, padahal koneksi bagus dan lancar;Negatif
Aplikasi sampah eror mulu gmn sih;Negatif
Ribet amet Sama aja bohong;Negatif
Bikin aplikasi tuh jangan stengah2, percuma ada aplikasi kalau data ga ter intergrasi. ga terhubung ke server pusat lah apalah. udah era digital tapi masih terbelakang banget.;Negatif
Kocak ngapain pakai aplikasi kalo harus datang ke kantor lagi buat verifikasi. Mending g usah pakai aplikasi tidak memudahkan juga;Negatif
Aplikasi tidak support device tinggi🤮;Negatif
lemot bat aplikasinya omke gas;Negatif
Udah belajar ngoding aja dulu yang bener wkwkwk. Aplikasi pemerintah sih buatnya asal asalan;Negatif
Kenapa yang dokumen lainya di saya gak muncul muncul, dan apakah ini tidak bisa yah ganti HP, masuk lagi ke aplikasi;Negatif
aplikasi tidak dapat di buka jadi saya kurang puas dengan aplikasi ini.;Negatif
Aplikasi terbaik untuk menguji kesabaran,,,, kont*l;Negatif
Fitur masih semi-online, barcode tetap harus di scan di kantor dukcapil setempat. indonesia daerah kepulauan, untuk ngurus pembaharuan KTP KK saja harus nyebrang pulau + nunggu jadwal angkot, jika tidak bisa langsung jadi, kita harus menginap disana sebelum balik ke rumah. herannya, ada saja oknum memakai kelemahan ini disaat pilkada / pilpres untuk melesatkan jumlah pemilih fiktif.;Negatif
Jelek;Negatif
Aplikasi sampah, UI/UX jelek banget, jadul. Pelayanan buruk;Negatif
Aplikasi busuk dr plat merah, ngedevlop nya kek negara miskin najissss;Negatif
Apa gunanya bikin aplikasi ini kalau ahirnya suruh datang ke dukcapil hanya untuk scen QR dari petugas dukcapil sangat aneh kalau mau bikin sistem online iya semua harus serba online termasuk bikin KTP yang rusak atau hilang dan bisa di kirim ke alamat pemohon itu baru aplikasi ini ada fungsinya anda bikin aplikasi ini buat apa ???;Negatif
Online apa an ya ? Nggak bisa di gunakan;Negatif
Tidak bisa dibuka;Negatif
Halah dipikir gmpang tetep aja harus ke dukcapil . harusnya kan bisa full online . tau sendiri klo udh menyangkut kepentingan petugas . ribet ihh .;Negatif
sekelas pemerintah bikin aplikasi gini amat,loading lama,klik bagikan harusnya mudah utk bagikan ke aplikasi lain atau cetak,sama aja bohong,dibawa ke bank pun yg dipake masih yg kartu dan masih hrs di copy..tujuannya apa digital toh yg dipke msh berupa kartu yg terus di fotokopy ulang;Negatif
"Untung sya ga jadi download setelah di hubungi oknum ""ngakunya"" Org kemendagri, malah sya di oper2 ke petugas lain,, dan setelah sya baca review disini,, parah ternyata,, masih bagusan mengurus secara langsung sih,, jadi ragu ama aplikasi ini, karna banyak review yg ga bisa akses setelah data di lengkapi,, 🤣😂";Negatif
apk tidak bs di buka;Negatif
Percumah katanya udah berlaku buat apa saja ternyata gak berlaku kalo buat perpanjang SKCK di Polsek tetep harus KTP fisik gak guna;Negatif
Beginilah hasilnya klo orang ga kompeten megang digital. Lemot nya ga tanggung2. Serahkan ke swasta aja. Biar yg mampu yg ngurus beginian.;Negatif
Kenapa yah ko aplilasi nya ga bisa d buka selallu salahnpin padahal pin benar;Negatif
Aplikasi ini sudah tidak digunakan lagi ya, terakhir update saja 2023.;Negatif
Percuma ...PERCUMA TIDAK BISA UNTUK DI CETAK... TETAP HARUS KE DISDUKCAPIL;Negatif
LEMOT;Negatif
Gajelas anjir pin udah bener tapi salah terus;Negatif
Mau login harus ke discapil juga ga guna babi..buat apa online ujung2 harus kesana;Negatif
Ngga bisa di buka lama banget loding nya;Negatif
Aplikasi buang buang anggaran. Tolong ya, harusnya ada fitur untuk upload foto!. Tidak semua orang mempunyai kamera depan yang baik untuk foto. Tolong banget ya kalo mau buat aplikasi itu jangan asal buat! Survey dulu! Ga semua orang punya device bagus!!! Saya benar-benar tidak ikhlas pajak saya digunakan untuk membuat hal-hal setengah-setengah seperti ini!;Negatif
Tidak bisa di andalkan;Negatif
G membantu sama sekali, pengerjaannya g jelas, download aja g bisa;Negatif
Saya sudah coba aplikasi ini, dari tahun 2022, tetapi saat ini di tahun 2024 ERROR, melulu setiap mau masuk ke aplikasi ini, tolong Pak Presiden RI dan Bapak Wakil Presiden RI 2024-2029, Tambahin Anggaran keamanan Cybercrime, untuk melindungi Aplikasi Di dalam Kementrian Dukcapil ini, dan juga tolong diawasi, jangan sampai anggaran di KORUPSI , dan Penjamin Perlindungan data Rakyatnya Indonesia 🇮🇩, harus 1000 % aman dan diamankan oleh keamanan Cybercrime, milik Negara baik BIN, Polri dan TNI !;Negatif
Eror terus tidak bisa dbuka;Negatif
Gunanya app online ini apa woi!!!kalau ternyata verifikasi aja tetap harus ke dukcapil?!!tujuannya ada app online itu memudahkan orang!, klo masih harus dateng ke kantor mending gk usah bikin app2 online² sgala,percuma!! verifikasi harusnya pakai foto aja udah cukup,contoh tuh app Brimo mudah cpt,skelas dukcapil punya kepemerintahan gini amat prosedurnya bertele²,bobrok!;Negatif
lemot;Negatif
Aplikasi tidak berjalan dengan baik, user stress karena penggunaan aplikasi yang tidak lancar. Tolong diperbaiki lagi performa aplikasinya;Negatif
Kenapa aplikasi ini tidak bisa dibuka alasannya kesalahan jaringan padahal tidak ada yang bermasalah sudah 3 minggu tidak bisa dibuka;Negatif
Baru install Aplikasinya setelah itu langsung saya unistal lagi, aplikasi yang sangat unfaedah, ngapain online kalau mesti datang ke dukcpail cmn scan barcode, kalau harus datang sekalian aja ngurus gk perlu pakai apliakasi, heran sama orang-orang yang sumber gajinya dari rakyat....;Negatif
Aplikasi Tolol , Pajak gede tapi aplikasi pemerintah sebusuk ini;Negatif
Ga jelas ngapain online kalo tetep harus ke kantornya, bejat bejat;Negatif
Aplikasi gk jelas ,percuma daftar aja harus scan QR, PERCUMA ,CUMAN NGABISIN ANGGARAN;Negatif
Gak usah donlot ya.... karna buat daftar aja susah;Negatif
Gak berguna.. mau pengurusan apapun yg diminta tetap Ektp. Lupa pasword jg hrus mengurus ke dukcapil.;Negatif
Hadeh..., aplikasi gajelas;Negatif
Saya sudah dafatr hanya di sini di aplikasi harus daftar ulang lagi sedangkan saya cek di google bisa.. tolong aplikasinya di perbaiki ya;Negatif
Saya sudah buat KTP berbentuk digital, tapi sayang tidak bisa buat KTP berbentuk fisik, alasannya blanko habis. Padahal KTP fisik sangat dibutuhkan untuk pengurusan birokrasi. Mau dapat fotocopy nya saja tidak bisa. Tolong beri solusi ! Hidup sudah susah, jangan dibikin tambah susah !;Negatif
Aplikasi gk guna, masa harus ke kantor dukcapil buat minta barcode untuk aktivasi aplikasinya. Seharusnya bisa dikirim via whatsapp atau email untuk pengiriman barcodenya, digitalisasi kok ribet banget.;Negatif
Kk saya sudahh kedaftar tapi kena kok gak bisa login lagi...dan barkot nya kok gak bisa di pakai di kk yg sdahh d cetak;Negatif
Ngelag!;Negatif
Pakai android versi 14 gak bisa di install ya aplikasinya?;Negatif
Aplikasi sampah, barcode gak ada yg bisa terbaca, mau menggunakan pelayanan kalau sudah jam 16.00 (4 sore) error' terus gak bisa login, niat mau online keren2 tapi user di instansi nya gak siap, sampah !!!;Negatif
Kenapa sekarang jadi sering eror sih Bukan nya mempermudah tapi malah di bikin ribet;Negatif
kenapa setiap mau ngecek dokumen itu selalu loading dan nunggunya lama, setelah kita lama menunggu terjadi kesalahan itu terulang ulang;Negatif
Buat apa dibuat sistem online kalo masih harus datang ke dukcapil, haduhhh miris mending gausah online sekalian;Negatif
HP saya sampe lowbet gabisa buka dokumen;Negatif
Apk tai;Negatif
lola, padahal jaringan bagus baik itu paket data maupun wifi;Negatif
Aplikasi pling tolol;Negatif
Namanya doang digital, aktifasi masih datang ke kantor... cuakkkssss;Negatif
Aplikaso buruk;Negatif
aplikasi cceleng;Negatif
Tidak bisa digunakan.;Negatif
Aplikasi apaan ini, bikin aplikasi digital itu seharusnya bisa mempersingkat waktu agar lebih efisien. Masa hanya karena barcode pengguna harus datang ke dukcapil dulu sama aja bukan diakses secara online. Tolong beritahukan ke tim ITnya kalo untuk pengguna online buatkan scan barcode online juga biar ga harus datang ke dukcapil perkara barcode. KOCAK emanggg;Negatif
"Percuma kau bikin kayak gini ujung"" nya ke dukcapil juga , sama aja boong";Negatif
Ngapain on-line klo harus ke dukcapil LG buat barcode.... Pembodohan,habisin anggara negara aja....gak fungsi ni aplikasi.... kelihatan bego nya pemerintah;Negatif
jelek dan ga berguna untuk masyaraka,fitur donlod ktp sendiri aja ga bisa,buat apa aplikasi ini kalo ga punya makna untuk masyarakat;Negatif
Gila buka apk, gue kira bakal mempermudah pengurusan, malah apk rusak yg ada, buka pelayanan aja, udah masukin pin sama captha masih ga bisa bisa login juga Kacau proyek Abal Abal, tim IT pecat aja kalo ga bisa bikin apk nya banyak yg lebih berkualitas di negara ini;Negatif
eror;Negatif
Not kompitable;Negatif
Ngapain pakai online kalo ujung ujungnya verifikasi d depan petugas, Tooooot....;Negatif
"Aplikasi nya eror Mulu gak bisa di buka trus udah daftar udah jauh"" ke dukcapcil gak bisa di buka hebatt...";Negatif
buat apa aplikasi kalo harus verifikasi ke dukcapil 🤣🤣🤣;Negatif
BOSOK apa gunanya online kalo harus scan kode di capil?;Negatif
Aplikasi sampah, malah bagusan sampah bisa didaur ulang, buat kalian jangan mau dibodoh bodohin pemerintah dengan kata digital. Yg sudah download segera hapus aplikasi ini menuhin memori hp dan sangat tidak berguna sama sekali dan yg belom download jangan mau dibodohin.;Negatif
Gak guna apk lemot sekali mending gak usah download;Negatif
Aplikasinya sudah di buka sedangkan ini kepentingan utama tapi tidak bisa di buka data saya sendirinyahadeuhhh😒😒😒;Negatif
Hadeh ini yang bikin apk siapa ya, ko modelan gini apknya, error Mu lu ini ga membuat efisien sama sekali;Negatif
Lemmot;Negatif
Cara mendapatkan barcodnya gimana nih aplikasi bikin susah kog d buat gg jelas;Negatif
GAK GUNA..UNINSTAL LAGI...KATANYA SERBA DIGITAL...TERUS DI SURUH KE DUKCAPIL MINTA KODE..SAMA AJA BOOOONGGGGGNYAAAAA....KUNO;Negatif
Aplikasi Tidak berfungsi, teknologi gagal;Negatif
bener² apk gajelas, liat ulasannya aja banyak yg komplen dan kasih bintang satu,tapi gak ditanggapin samsek, niat bikin online biar gak ribet,malah disuruh scan barcode ke dukcapil,kok Yo gak mesisan,kalo online ya online saja gitu Lo,sama saja bikin riwa riwi cuma perkara scan barcode!;Negatif
Gak bisa digunakan untuk melakukan upgrade ke premium semua e-wallet, apa harus ada fisik nya ya kalo mau upgrade?;Negatif
Parah kagak ada guna apa udah lebih 2bulan ktp sy belom ada juga dari sms;Negatif
Vivo y36 tidak compitabel;Negatif
Gk guna;Negatif
Belum bisa membantu sepenuhnya;Negatif
Tolong segera diperbaiki lagi, Ini aplikasi lemotnya minta ampun;Negatif
APK GAK GUNA GILIRAN DI BUTUHKAN SANGAT LEMOT !!!;Negatif
No coment deh kalo begini...;Negatif
Buruk...mau daftar saja harus ke dukcapil...saya pikir sudah punya data yg valid akan tetapi barcode harus ke dukcapil.;Negatif
"Ini aplikasi lemot banget njir ... Di pake buru"" kgk guna";Negatif
gada yang beres situsnya. nanti ad apk baru lagi. ini. susah di akses.. aplikasi pemerintah gada yang beres.;Negatif
Maaf sy TDK bisa buka karna lupa sandi;Negatif
Tidak ada aplikasi pemerintah yang bagus sebatas tender cair, tidak ada pemeliharaan berikutnya, masuk pun ga aktif BURUK BURUK BURUK;Negatif
